station_european_code;station_local_code;country_iso_code;country_name;station_name;station_start_date;station_end_date;type_of_station;station_ozone_classification;station_type_of_area;station_subcat_rural_back;street_type;station_longitude_deg;station_latitude_deg;station_altitude;station_city;lau_level1_code;lau_level2_code;lau_level2_name;EMEP_station
AT60151;6151;AT;AUSTRIA;Bockberg;01/01/1985;;Background;rural;rural;regional;Unknown;15.495011;46.873055;449;;;61047;Wildon;no
AT4S410;S410;AT;AUSTRIA;Braunau Lach;01/07/1987;30/09/1999;Traffic;;rural;;Wide street: L/H > 1.5;13.051403;48.246666;363;BRAUNAU;;40404;Braunau am Inn;no
AT4S156;04S156;AT;AUSTRIA;Braunau Zentrum;01/10/1999;;Background;suburban;suburban;;Wide street: L/H > 1.5;13.040006;48.258335;350;BRAUNAU;;40404;Braunau am Inn;no
AT80471;471;AT;AUSTRIA;Bregenz Montfortstrasse;01/01/2002;31/12/2003;Traffic;;rural;near city;Canyon street: L/H < 1.5;9.745289;47.502777;726;BREGENZ;;80207;Bregenz;no
AT72519;72519;AT;AUSTRIA;Brixlegg Innweg;01/10/1979;;Industrial;;rural;;Unknown;11.872784;47.430836;520;;;70506;Brixlegg;no
AT60144;6144;AT;AUSTRIA;Bruck an der Mur - Glorietteweg;01/02/1985;06/06/1999;Background;;urban;;Unknown;15.280847;47.415279;550;BRUCK AN DER MUR;;;;no
AT60180;6180;AT;AUSTRIA;Bruck an der Mur Flurgasse;04/04/2007;;Background;;suburban;;Wide street: L/H > 1.5;15.253336;47.409447;485;BRUCK AN DER MUR;;60204;Bruck an der Mur;no
AT60192;6192;AT;AUSTRIA;Bruck an der Mur West;01/08/1999;31/12/2006;Traffic;;suburban;;Unknown;15.258619;47.411392;485;BRUCK AN DER MUR;;;;no
AT31403;31403;AT;AUSTRIA;Brunn am Gebirge;01/03/1993;31/12/2005;Background;;suburban;;Unknown;16.283333;48.110832;288;BRUNN AM GEBIRGE;;;;no
AT30402;30402;AT;AUSTRIA;Deutsch Wagram;01/04/1993;30/09/2002;Background;;rural;near city;Unknown;16.559174;48.298332;160;DEUTSCH WAGRAM;;30808;Deutsch-Wagram;no
AT60147;6147;AT;AUSTRIA;Deutschlandsberg Frauentalerstraße;01/11/1988;31/08/2005;Background;;urban;near city;Unknown;15.228344;46.818333;365;DEUTSCHLANDSBERG;;;;no
AT60195;6195;AT;AUSTRIA;Deutschlandsberg Rathausgasse;01/09/2005;;Background;suburban;suburban;;;15.212789;46.813889;368;DEUTSCHLANDSBERG;;60302;Deutschlandsberg;no
AT80807;80807;AT;AUSTRIA;Dornbirn Stadtstraße;01/08/1990;;Background;;urban;;Wide street: L/H > 1.5;9.744175;47.410835;440;DORNBIRN;;80301;Dornbirn;no
AT31701;31701;AT;AUSTRIA;Dunkelsteinerwald;01/12/1989;;Background;rural;rural;near city;Unknown;15.546679;48.371109;305;;;31303;Bergern im Dunkelsteinerwald;no
AT2M226;02M226;AT;AUSTRIA;Ebenthal Zell;01/12/2006;;Background;;rural;;;14.398611;46.608334;430;EBENTHAL;;;;no
AT10001;10001;AT;AUSTRIA;Eisenstadt Laschoberstraße;01/05/1993;;Background;suburban;suburban;;Wide street: L/H > 1.5;16.526674;47.840000;160;EISENSTADT;;10101;Eisenstadt;no
AT4S171;04S171;AT;AUSTRIA;Enns Eckmayermühle B309;24/08/2005;31/12/2007;Traffic;;rural;;Wide street: L/H > 1.5;14.433889;48.209724;260;ENNS;;;;no
AT4S165;04S165;AT;AUSTRIA;Enns Kristein A1;01/01/2003;;Traffic;rural;rural;;Highway: average speed vehicles > 80 km/h;14.454169;48.206944;282;ENNS;;41005;Enns;no
AT0ENK1;10ENK1;AT;AUSTRIA;Enzenkirchen im Sauwald;03/06/1998;;Background;rural background;rural;remote;;13.671114;48.391670;525;;;41408;Enzenkirchen;no
AT81919;81919;AT;AUSTRIA;Feldkirch Bärenkreuzung;01/03/1997;;Traffic;;urban;;Canyon street: L/H < 1.5;9.596678;47.238888;460;FELDKIRCH;;80404;Feldkirch;no
AT81913;81913;AT;AUSTRIA;Feldkirch Hirschgraben;01/10/1987;29/05/1998;Traffic;;urban;;Canyon street: L/H < 1.5;9.596955;47.238613;460;FELDKIRCH;;;;no
AT2FE13;FE13;AT;AUSTRIA;Feldkirchen Milesistrasse;12/12/1991;18/02/1999;Traffic;;rural;;Unknown;14.090838;46.727501;550;FELDKIRCHEN;;21002;Feldkirchen in Kärnten;no
AT2KL17;KL17;AT;AUSTRIA;Ferlach;01/10/1991;03/02/2000;Background;;rural;;;14.301683;46.529167;460;;;20405;Ferlach;no
AT30602;602;AT;AUSTRIA;Fischamend;01/11/1987;05/09/2002;Background;;rural;near city;Unknown;16.627232;48.109444;179;;;32402;Fischamend;no
AT30202;30202;AT;AUSTRIA;Forsthof am Schöpfl;01/02/1988;;Background;rural background;rural;regional;;15.919448;48.106110;581;;;30616;Klausen-Leopoldsdorf;no
AT2VL12;VL12;AT;AUSTRIA;Fürnitz Bahnhofstrasse;01/10/1990;05/05/2001;Industrial;;rural;;Wide street: L/H > 1.5;13.811122;46.563889;515;;;20711;Finkenstein am Faaker See;no
AT60198;6198;AT;AUSTRIA;Fürstenfeld;01/11/2006;;Background;suburban;suburban;;;16.078901;47.046944;276;FÜRSTENFELD;;;;no
AT51002;51002;AT;AUSTRIA;Gaisberg Zistelalm;01/12/1983;30/09/2003;Background;rural;rural;near city;;13.116667;47.798332;1010;;;;;no
AT2VL52;02VL52;AT;AUSTRIA;Gerlitzen Steinturm;05/07/1990;;Background;rural background;rural;regional;;13.901963;46.683891;1895;;;20724;Treffen am Ossiacher See;no
AT60191;6191;AT;AUSTRIA;Gratwein;01/03/1999;;Industrial;;rural;;;15.325563;47.142223;380;;;60614;Gratwein;no
AT60164;6164;AT;AUSTRIA;Graz Don Bosco;01/01/2000;;Traffic;;urban;;Wide street: L/H > 1.5;15.417789;47.055553;358;GRAZ;;60101;Graz;no
AT60036;6036;AT;AUSTRIA;Graz Lustbühel;01/10/2010;;Background;;suburban;;;15.493610;47.066940;481;GRAZ;;60101;Graz;no
AT60160;6160;AT;AUSTRIA;Graz Mitte;01/11/1989;10/12/2009;Background;;urban;;Canyon street: L/H < 1.5;15.438614;47.069721;355;GRAZ;;;;no
AT60172;6172;AT;AUSTRIA;Graz Mitte Gries;18/02/2010;;Background;;urban;;;15.431670;47.069168;350;GRAZ;;60101;Graz;no
AT60138;6138;AT;AUSTRIA;Graz Nord;01/01/1978;;Background;suburban;suburban;;Unknown;15.414180;47.095554;348;GRAZ;;60101;Graz;no
AT60161;6161;AT;AUSTRIA;Graz Ost;01/12/1989;31/12/2004;Background;;suburban;;Unknown;15.471113;47.060555;366;GRAZ;;;;no
AT60171;6171;AT;AUSTRIA;Graz Ost Petersgasse;01/01/2006;;Traffic;;urban;;Wide street: L/H > 1.5;15.466125;47.059444;362;GRAZ;;60101;Graz;no
AT60020;6020;AT;AUSTRIA;Graz Platte;01/04/1990;15/09/2010;Background;suburban;suburban;;Unknown;15.470558;47.113056;661;GRAZ;;;;no
AT60018;6018;AT;AUSTRIA;Graz Schlossberg;01/04/1990;;Background;suburban;urban;;Unknown;15.438614;47.077221;450;GRAZ;;60101;Graz;no
AT60140;6140;AT;AUSTRIA;Graz Süd Herrgottwiesgasse;01/01/1987;23/04/2003;Background;;suburban;;Wide street: L/H > 1.5;15.434736;47.043056;345;GRAZ;;;;no
AT60170;6170;AT;AUSTRIA;Graz Süd Tiergartenweg;26/04/2003;;Background;urban;urban;;Unknown;15.434175;47.041943;345;GRAZ;;60101;Graz;no
AT60162;6162;AT;AUSTRIA;Graz Südwest;01/12/1989;14/12/1999;Background;;suburban;;Canyon street: L/H < 1.5;15.400000;47.033054;360;GRAZ;;;;no
AT60139;6139;AT;AUSTRIA;Graz West;01/02/1987;;Background;;suburban;;Unknown;15.404169;47.069721;370;GRAZ;;60101;Graz;no
AT60196;6196;AT;AUSTRIA;Grebenzen;25/07/2006;;Background;;rural;regional;;14.330011;47.040276;1648;;;;;no
AT30406;30406;AT;AUSTRIA;Großenzersdorf Friedhof;01/02/1990;10/08/2004;Background;;rural;near city;Unknown;16.550560;48.195000;155;GROSSENZERSDORF;;30821;Groß-Enzersdorf;no
AT30407;30407;AT;AUSTRIA;Großenzersdorf Glinzendorf;10/08/2004;;Background;rural;rural;near city;;16.636948;48.236668;150;GROSSENZERSDORF;;30819;Glinzendorf;no
AT32201;32201;AT;AUSTRIA;Großgöttfritz;01/11/1991;23/11/2000;Background;;rural;;;15.166667;48.530834;710;;;;;no
AT60157;6157;AT;AUSTRIA;Grundlsee;01/01/1990;;Background;rural background;rural;remote;;13.796679;47.616665;980;;;61207;Bad Aussee;no
AT4S108;04S108;AT;AUSTRIA;Grünbach bei Freistadt;01/01/1986;;Background;rural background;rural;regional;Wide street: L/H > 1.5;14.574728;48.531113;918;;;40602;Grünbach;no
AT30401;30401;AT;AUSTRIA;Gänserndorf;01/01/1986;;Background;suburban;suburban;;Unknown;16.730570;48.334721;161;GÄNSERNDORF;;30817;Gänserndorf;no
AT72223;72223;AT;AUSTRIA;Gärberbach - Brennerautobahn;01/07/1995;;Traffic;;rural;;Highway: average speed vehicles > 80 km/h;11.390839;47.240002;680;;;70332;Natters;no
AT4S169;04S169;AT;AUSTRIA;Haid  - Ansfelden;17/03/2004;18/08/2005;Traffic;;suburban;;Wide street: L/H > 1.5;14.251120;48.200000;280;ANSFELDEN;;;;no
AT30301;30301;AT;AUSTRIA;Hainburg;12/01/1986;;Background;rural;suburban;;Wide street: L/H > 1.5;16.961123;48.143890;165;HAINBURG;;30710;Hainburg a.d. Donau;no
AT72209;72209;AT;AUSTRIA;Hall i.T. Münzergasse;01/10/1980;31/12/2006;Traffic;;urban;;Wide street: L/H > 1.5;11.503336;47.276390;570;HALL IN TIROL;;;;no
AT72227;72227;AT;AUSTRIA;Hall in Tirol - Sportplatz;01/08/2006;;Traffic;;suburban;;Highway: average speed vehicles > 80 km/h;11.512511;47.278057;560;HALL IN TIROL;;70354;Hall in Tirol;no
AT52300;52300;AT;AUSTRIA;Hallein A10 Tauernautobahn;01/01/2003;;Traffic;;suburban;;Highway: average speed vehicles > 80 km/h;13.108062;47.691113;440;HALLEIN;;50205;Hallein;no
AT52000;52000;AT;AUSTRIA;Hallein B159;06/01/1978;;Traffic;;urban;;Wide street: L/H > 1.5;13.101964;47.683056;440;HALLEIN;;50205;Hallein;no
AT52015;52015;AT;AUSTRIA;Hallein Gamp;01/09/1994;31/12/2003;Industrial;;suburban;;Unknown;13.113903;47.672779;440;HALLEIN;;;;no
AT52100;52100;AT;AUSTRIA;Hallein Winterstall;01/01/1985;;Industrial;rural;rural;;Unknown;13.105840;47.666946;650;HALLEIN;;50205;Hallein;no
AT60188;6188;AT;AUSTRIA;Hartberg Wiesengasse;11/07/1996;24/01/2010;Background;suburban;suburban;;Canyon street: L/H < 1.5;15.975010;47.278610;330;HARTBERG;;;;no
AT60179;6179;AT;AUSTRIA;Hartberg Zentrum;30/01/2010;;Background;suburban;suburban;;;15.971944;47.282776;349;HARTBERG;;;;no
AT53055;53055;AT;AUSTRIA;Haunsberg;01/11/1985;;Background;rural;rural;regional;Unknown;13.015847;47.972778;730;;;50325;Nußdorf am Haunsberg;no
AT30502;30502;AT;AUSTRIA;Heidenreichstein Thaures;01/03/1989;;Background;rural;rural;regional;Unknown;15.046679;48.878609;560;;;30916;Heidenreichstein;no
AT72710;72710;AT;AUSTRIA;Heiterwang;01/01/2003;;Traffic;;rural;;Wide street: L/H > 1.5;10.744175;47.447781;993;HEITERWANG;;70814;Heiterwang;no
AT2HE19;HE19;AT;AUSTRIA;Hermagor Gailtalstrasse;03/05/1991;07/05/2001;Traffic;;rural;;Wide street: L/H > 1.5;13.373061;46.624722;600;HERMAGOR;;20305;Hermagor-Pressegger See;no
AT30603;30603;AT;AUSTRIA;Himberg;01/03/1993;;Background;rural;rural;near city;Unknown;16.433332;48.086109;172;HIMBERG;;32406;Himberg;no
AT0HBG1;HBG1;AT;AUSTRIA;Hochburg-Ach;03/01/1993;31/05/1998;Background;;rural;;;12.866947;48.148056;463;HOCHBURG-ACH;;40414;Hochburg-Ach;no
AT60137;6137;AT;AUSTRIA;Hochgössnitz;01/01/1988;;Background;rural;rural;regional;;15.016666;47.059166;900;;;61605;Gößnitz;no
AT60189;6189;AT;AUSTRIA;Hochwurzen;05/09/1996;;Background;rural background;rural;remote;;13.633333;47.358334;1850;;;61232;Pichl-Preunegg;no
AT80709;80709;AT;AUSTRIA;Höchst Gemeindeamt;26/03/2003;;Traffic;;suburban;;Wide street: L/H > 1.5;9.640284;47.458889;405;HÖCHST;;80217;Höchst;no
AT72705;72705;AT;AUSTRIA;Höfen Lärchbichl;01/06/1990;;Background;rural;rural;regional;Wide street: L/H > 1.5;10.682237;47.470001;880;HÖFEN;;70816;Höfen;no
AT0ILL1;10ILL1;AT;AUSTRIA;Illmitz;01/05/1978;;Background;rural background;rural;remote;;16.766403;47.770000;117;;;;;yes
AT72311;72311;AT;AUSTRIA;Imst Imsterau;05/12/2001;31/12/2010;Traffic;;suburban;;Wide street: L/H > 1.5;10.736114;47.218056;635;IMST;;;;no
AT72315;72315;AT;AUSTRIA;Imst Inntalautobahn A12;01/11/2007;;Traffic;;rural;;Highway: average speed vehicles > 80 km/h;10.735578;47.216949;715;IMST;;70203;Imst;no
AT72123;72123;AT;AUSTRIA;Innsbruck Nordkette;01/03/1985;;Background;rural;rural;regional;;11.378067;47.306110;1910;;;70101;Innsbruck;no
AT72126;72126;AT;AUSTRIA;Innsbruck Olympisches Dorf;01/01/1977;01/01/1999;Background;;suburban;;Canyon street: L/H < 1.5;11.441953;47.273056;570;INNSBRUCK;;;;no
AT72106;72106;AT;AUSTRIA;Innsbruck Reichenau;01/12/1987;;Traffic;urban;urban;;Wide street: L/H > 1.5;11.417789;47.271667;570;INNSBRUCK;;70101;Innsbruck;no
AT72113;72113;AT;AUSTRIA;Innsbruck Sadrach;01/06/1992;;Background;suburban;suburban;;Wide street: L/H > 1.5;11.366667;47.271111;670;INNSBRUCK;;70101;Innsbruck;no
AT72110;72110;AT;AUSTRIA;Innsbruck Zentrum Fallmerayerstr.;01/11/1988;;Traffic;;urban;;Canyon street: L/H < 1.5;11.393064;47.263054;580;INNSBRUCK;;70101;Innsbruck;no
AT30801;30801;AT;AUSTRIA;Irnfritz;01/07/1989;;Background;rural;rural;regional;Unknown;15.500280;48.724445;556;;;31110;Irnfritz-Messern;no
AT60118;6118;AT;AUSTRIA;Judenburg;01/01/1973;;Background;suburban;suburban;;Unknown;14.677508;47.179447;715;JUDENBURG;;60806;Judenburg;no
AT60136;6136;AT;AUSTRIA;Judendorf Süd;01/01/1980;;Industrial;;rural;;;15.355281;47.119442;375;;;60622;Judendorf-Straßengel;no
AT60145;6145;AT;AUSTRIA;Kapfenberg;01/01/1973;;Background;;urban;;Unknown;15.290284;47.445557;517;KAPFENBERG;;60209;Kapfenberg;no
AT72218;72218;AT;AUSTRIA;Karwendel West;01/09/1987;31/12/2010;Background;rural background;rural;remote;;11.228344;47.342778;1730;;;;;no
AT32604;32604;AT;AUSTRIA;Kematen;08/05/2009;;Background;;rural;regional;;14.772220;48.044998;750;KEMATEN;;30517;Kematen an der Ybbs;no
AT60184;6184;AT;AUSTRIA;Kindberg-Wartberg;01/08/1994;31/10/2004;Background;;rural;regional;Unknown;15.486392;47.514446;660;;;61316;Wartberg im Mürztal;no
AT10003;10003;AT;AUSTRIA;Kittsee;01/06/1999;;Background;suburban;suburban;near city;Highway: average speed vehicles > 80 km/h;17.071392;48.109444;138;BRATISLAVA;;10711;Kittsee;no
AT2KA11;02KA11;AT;AUSTRIA;Klagenfurt Koschatstrasse;01/09/1990;17/01/2011;Traffic;urban;urban;;Wide street: L/H > 1.5;14.298347;46.626111;440;KLAGENFURT;;;;no
AT2KA41;02KA41;AT;AUSTRIA;Klagenfurt Kreuzbergl;08/05/1990;;Background;suburban;suburban;;;14.289173;46.629719;550;KLAGENFURT;;20101;Klagenfurt am Wörthersee;no
AT2KA61;02KA61;AT;AUSTRIA;Klagenfurt Nordumfahrung A2;01/05/2008;;Traffic;;suburban;;Highway: average speed vehicles > 80 km/h;14.268910;46.652779;455;KLAGENFURT;;20101;Klagenfurt am Wörthersee;no
AT2KA71;02KA71;AT;AUSTRIA;Klagenfurt Sterneckstraße;01/01/2011;;Background;;urban;;;14.299167;46.626667;445;KLAGENFURT;;;;no
AT2KA21;02KA21;AT;AUSTRIA;Klagenfurt Völkermarkterstrasse;22/12/1993;;Traffic;;urban;;Wide street: L/H > 1.5;14.316947;46.619999;445;KLAGENFURT;;20101;Klagenfurt am Wörthersee;no
AT2F202;02F202;AT;AUSTRIA;Klein St. Paul - Pemberg;14/12/1995;;Industrial;rural;rural;;Unknown;14.528900;46.841942;810;;;20512;Kappel am Krappfeld;no
AT30599;30599;AT;AUSTRIA;Klosterneuburg B14;10/08/2006;;Traffic;;urban;;Wide street: L/H > 1.5;16.326399;48.306942;192;KLOSTERNEUBURG;;;;no
AT30601;30601;AT;AUSTRIA;Klosterneuburg Wisentgasse;09/09/1989;;Background;suburban;suburban;;Unknown;16.304724;48.301388;200;KLOSTERNEUBURG;;;;no
AT60185;6185;AT;AUSTRIA;Klöch bei Bad Radkersburg;01/05/1995;;Background;rural background;rural;regional;Unknown;15.956672;46.752777;300;;;61509;Klöch;no
AT60115;6115;AT;AUSTRIA;Knittelfeld Kindergarten;01/01/1973;05/12/2001;Background;;urban;;Wide street: L/H > 1.5;14.830011;47.218056;635;KNITTELFELD;;;;no
AT60119;6119;AT;AUSTRIA;Knittelfeld Parkstraße;05/12/2001;;Background;;urban;;Unknown;14.824450;47.210278;635;KNITTELFELD;;60907;Knittelfeld;no
AT30103;30103;AT;AUSTRIA;Kollmitzberg;11/01/1987;;Background;rural background;rural;regional;;14.866667;48.179722;465;;;30503;Ardagger;no
AT30901;30901;AT;AUSTRIA;Korneuburg;01/08/1986;06/09/2002;Background;;urban;;Unknown;16.334723;48.349998;170;KORNEUBURG;;;;no
AT72538;72538;AT;AUSTRIA;Kramsach Angerberg;01/07/1990;;Background;rural;rural;regional;Unknown;11.910563;47.459167;600;;;70512;Kramsach;no
AT32501;32501;AT;AUSTRIA;Krems;01/11/1985;;Background;suburban;urban;;Unknown;15.620280;48.409447;190;KREMS;;30101;Krems an der Donau;no
AT72547;72547;AT;AUSTRIA;Kufstein Festung;01/04/1994;;Background;suburban;suburban;;Unknown;12.169725;47.581944;550;KUFSTEIN;;70513;Kufstein;no
AT72552;72552;AT;AUSTRIA;Kufstein Praxmarerstraße;11/11/2003;;Traffic;;urban;;Wide street: L/H > 1.5;12.173617;47.586388;505;KUFSTEIN;;70513;Kufstein;no
AT72539;72539;AT;AUSTRIA;Kufstein Zentrum Franz Josefs Platz;01/07/1990;11/11/2003;Traffic;;urban;;Wide street: L/H > 1.5;12.172228;47.584442;500;KUFSTEIN;;;;no
AT72550;72550;AT;AUSTRIA;Kundl A12;01/11/2006;;Traffic;;rural;;Highway: average speed vehicles > 80 km/h;11.958342;47.468891;510;;;70514;Kundl;no
AT60106;6106;AT;AUSTRIA;Köflach;01/01/1984;;Background;;urban;;Unknown;15.079178;47.061665;445;KÖFLACH;;61609;Köflach;no
AT72617;72617;AT;AUSTRIA;Landeck Gerberbrücke;01/12/1993;20/01/2002;Traffic;;urban;;Canyon street: L/H < 1.5;10.566947;47.137779;817;LANDECK;;;;no
AT30903;30903;AT;AUSTRIA;Langenzersdorf;01/03/1993;26/10/2002;Background;;rural;near city;Unknown;16.361389;48.303055;160;LANGENZERSDORF;;;;no
AT60197;6197;AT;AUSTRIA;Leibnitz;08/11/2006;;Background;;suburban;;;15.540562;46.778332;270;LEIBNITZ;;61022;Leibnitz;no
AT4S418;04S418;AT;AUSTRIA;Lenzing;01/03/1982;;Industrial;rural;rural;;Wide street: L/H > 1.5;13.600842;47.971947;510;LENZING;;41713;Lenzing;no
AT60142;6142;AT;AUSTRIA;Leoben Donawitz;01/11/1985;;Industrial;;urban;;Unknown;15.077508;47.376110;555;LEOBEN;;61108;Leoben;no
AT60141;6141;AT;AUSTRIA;Leoben Göß;01/01/1985;;Background;;urban;;Unknown;15.098903;47.359444;554;LEOBEN;;61108;Leoben;no
AT60143;6143;AT;AUSTRIA;Leoben Zentrum;01/01/1981;;Background;urban;urban;;Wide street: L/H > 1.5;15.090005;47.383053;540;LEOBEN;;61108;Leoben;no
AT72910;72910;AT;AUSTRIA;Lienz Amlacherkreuzung;01/01/1998;;Traffic;;urban;;Wide street: L/H > 1.5;12.765570;46.828056;670;LIENZ;;70716;Lienz;no
AT72906;72906;AT;AUSTRIA;Lienz Dolomitenkreuzung;01/02/1992;31/12/1998;Traffic;;urban;;Unknown;12.761400;46.828331;670;LIENZ;;;;no
AT72908;72908;AT;AUSTRIA;Lienz Sportzentrum;01/04/1996;30/09/2010;Background;suburban;suburban;;Unknown;12.765569;46.825000;670;LIENZ;;;;no
AT72912;72912;AT;AUSTRIA;Lienz Tristacher See Straße;01/10/2009;;Background;suburban;suburban;;;12.765831;46.819168;681;LIENZ;;70716;Lienz;no
AT60182;6182;AT;AUSTRIA;Liezen;01/04/1993;;Background;suburban;suburban;regional;Unknown;14.243620;47.567223;665;LIEZEN;;61223;Liezen;no
AT4S415;04S415;AT;AUSTRIA;Linz 24er Turm;01/07/1979;;Traffic;;urban;;Highway: average speed vehicles > 80 km/h;14.297792;48.323334;255;LINZ;;40101;Linz;no
AT4BERN;04BERN;AT;AUSTRIA;Linz Bernaschekplatz;01/01/2000;;Traffic;;urban;;Wide street: L/H > 1.5;14.281403;48.310555;260;LINZ;;40101;Linz;no
AT4S425;04s425;AT;AUSTRIA;Linz Freinberg;01/05/1987;10/07/2003;Background;;suburban;;Unknown;14.267509;48.297222;380;LINZ;;40101;Linz;no
AT4S401;04S401;AT;AUSTRIA;Linz Hauserhof;01/02/1977;31/12/2000;Background;;urban;;Wide street: L/H > 1.5;14.291395;48.291943;290;LINZ;;;;no
AT4S412;04S412;AT;AUSTRIA;Linz Kleinmünchen;01/07/1979;;Background;;suburban;;Wide street: L/H > 1.5;14.310842;48.254444;258;LINZ;;40101;Linz;no
AT4S416;04S416;AT;AUSTRIA;Linz Neue Welt;03/01/1982;;Background;urban;urban;;Wide street: L/H > 1.5;14.314736;48.274445;265;LINZ;;40101;Linz;no
AT4S414;04S414;AT;AUSTRIA;Linz ORF-Zentrum;01/07/1979;31/12/2007;Background;;urban;;Wide street: L/H > 1.5;14.301403;48.297501;263;LINZ;;;;no
AT4S431;04S431;AT;AUSTRIA;Linz Römerberg;01/10/1997;;Traffic;;urban;;Wide street: L/H > 1.5;14.283070;48.303055;262;LINZ;;40101;Linz;no
AT4S184;04S184;AT;AUSTRIA;Linz Stadtpark;29/10/2008;;Background;;urban;;;14.297501;48.306110;260;LINZ;;;;no
AT4S131;04S131;AT;AUSTRIA;Linz Tankhafen;20/02/2000;;Industrial;;urban;;;14.337502;48.294445;254;LINZ;;40101;Linz;no
AT4S403;04S403;AT;AUSTRIA;Linz Urfahr;02/01/1977;31/12/2007;Traffic;;urban;;Wide street: L/H > 1.5;14.280833;48.315556;269;LINZ;;;;no
AT4S413;04S413;AT;AUSTRIA;Linz Ursulinenhof;07/01/1979;31/10/1997;Background;;urban;;Canyon street: L/H < 1.5;14.291676;48.303055;262;LINZ;;;;no
AT80706;80706;AT;AUSTRIA;Lustenau Wiesenrain;01/09/1987;;Background;suburban;urban;;Canyon street: L/H < 1.5;9.652781;47.410835;410;LUSTENAU;;80303;Lustenau;no
